time;ExpDiode_V;ExpDiode_I
0.0685;-0.89101;-1.00E-12
0.0686;-0.90483;-1.00E-12
0.0687;-0.91775;-1.00E-12
0.0688;-0.92978;-1.00E-12
0.0689;-0.94088;-1.00E-12
0.069;-0.95106;-1.00E-12
0.0691;-0.96029;-1.00E-12
0.0692;-0.96858;-1.00E-12
0.0693;-0.97592;-1.00E-12
0.0694;-0.98229;-1.00E-12
0.0695;-0.98769;-1.00E-12
0.0696;-0.99211;-1.00E-12
0.0697;-0.99556;-1.00E-12
0.0698;-0.99803;-1.00E-12
0.0699;-0.99951;-1.00E-12
0.07;-1;-1.00E-12
0.0701;-0.99951;-1.00E-12
0.0702;-0.99803;-1.00E-12
0.0703;-0.99556;-1.00E-12
0.0704;-0.99211;-1.00E-12
0.0705;-0.98769;-1.00E-12
0.0706;-0.98229;-1.00E-12
0.0707;-0.97592;-1.00E-12
0.0708;-0.96858;-1.00E-12
0.0709;-0.96029;-1.00E-12
0.071;-0.95106;-1.00E-12
0.0711;-0.94088;-1.00E-12
0.0712;-0.92978;-1.00E-12
0.0713;-0.91775;-1.00E-12
0.0714;-0.90483;-1.00E-12
0.0715;-0.89101;-1.00E-12
0.0716;-0.87631;-1.00E-12
0.0717;-0.86074;-1.00E-12
0.0718;-0.84433;-1.00E-12
0.0719;-0.82708;-1.00E-12
0.072;-0.80902;-1.00E-12
0.0721;-0.79016;-1.00E-12
0.0722;-0.77051;-1.00E-12
0.0723;-0.75011;-1.00E-12
0.0724;-0.72897;-1.00E-12
0.0725;-0.70711;-1.00E-12
0.0726;-0.68455;-1.00E-12
0.0727;-0.66131;-1.00E-12
0.0728;-0.63742;-1.00E-12
0.0729;-0.61291;-1.00E-12
0.073;-0.58779;-1.00E-12
0.0731;-0.56208;-1.00E-12
0.0732;-0.53583;-1.00E-12
0.0733;-0.50904;-1.00E-12
0.0734;-0.48175;-1.00E-12
0.0735;-0.45399;-1.00E-12
0.0736;-0.42578;-1.00E-12
0.0737;-0.39715;-1.00E-12
0.0738;-0.36812;-1.00E-12
0.0739;-0.33874;-1.00E-12
0.074;-0.30902;-1.00E-12
0.0741;-0.27899;-1.00E-12
0.0742;-0.24869;-1.00E-12
0.0743;-0.21814;-1.00E-12
0.0744;-0.18738;-9.99E-13
0.0745;-0.15643;-9.98E-13
0.0746;-0.12533;-9.92E-13
0.0747;-0.094108;-9.74E-13
0.0748;-0.062791;-9.12E-13
0.0749;-0.031411;-7.03E-13
0.075;1.37E-13;-4.65E-16
0.0751;0.031411;2.37E-12
0.0752;0.062791;1.03E-11
0.0753;0.094108;3.71E-11
0.0754;0.12533;1.26E-10
0.0755;0.15643;4.23E-10
0.0756;0.18738;1.40E-09
0.0757;0.21814;4.62E-09
0.0758;0.24869;1.51E-08
0.0759;0.27899;4.86E-08
0.076;0.30902;1.55E-07
0.0761;0.33873;4.90E-07
0.0762;0.36811;1.53E-06
0.0763;0.3971;4.69E-06
0.0764;0.42564;1.41E-05
0.0765;0.45357;4.17E-05
0.0766;0.48057;0.00011836
0.0767;0.50589;0.00031518
0.0768;0.52832;0.00075057
0.0769;0.54676;0.0015319
0.077;0.56111;0.0026679
0.0771;0.5721;0.0040811
0.0772;0.58064;0.0056788
0.0773;0.58744;0.0073875
0.0774;0.59299;0.0091561
0.0775;0.59761;0.01095
0.0776;0.60153;0.012744
0.0777;0.60491;0.01452
0.0778;0.60784;0.016267
0.0779;0.61042;0.017973
0.078;0.6127;0.019631
0.0781;0.61473;0.021235
0.0782;0.61655;0.022778
0.0783;0.61817;0.024257
0.0784;0.61963;0.025667
0.0785;0.62095;0.027006
0.0786;0.62213;0.02827
0.0787;0.62319;0.029456
0.0788;0.62415;0.030563
0.0789;0.625;0.031588
0.079;0.62576;0.03253
0.0791;0.62643;0.033386
0.0792;0.62702;0.034156
0.0793;0.62753;0.034838
0.0794;0.62797;0.035432
0.0795;0.62833;0.035936
0.0796;0.62863;0.036349
0.0797;0.62886;0.036671
0.0798;0.62902;0.036901
0.0799;0.62912;0.037039
0.08;0.62915;0.037085
0.0801;0.62912;0.037039
0.0802;0.62902;0.036901
0.0803;0.62886;0.036671
