time,v1,v2,i12,i34
0.0398,8.6549714607073,-0.723529006465885,9.98026728428271,1.32529582357542
0.0399,8.76297821136783,-0.743391416598594,9.99506560365732,1.23208739228948
0.04,8.86233696047648,-0.762520189080599,10,1.13766303952352
0.0401,8.95294965294133,-0.780896446127721,9.99506560365731,1.04211595071598
0.0402,9.03472686497281,-0.798502052597536,9.98026728428271,0.945540419309904
0.0403,9.10758789233412,-0.815319633886555,9.9556196460308,0.84803175369668
0.0404,9.17146082998656,-0.831332593076853,9.92114701314478,0.749686183158211
0.0405,9.22628264305113,-0.846525127315212,9.87688340595138,0.650600762900249
0.0406,9.27199922901625,-0.860882243408635,9.82287250728688,0.550873278270634
0.0407,9.30856547113047,-0.874389772620794,9.75916761938748,0.450602148257004
0.0408,9.33594528292718,-0.887034384654889,9.68583161128631,0.349886328359124
0.0409,9.35411164383762,-0.898803600809004,9.60293685676943,0.248825212931815
0.041,9.36304662585683,-0.909685806291113,9.51056516295153,0.1475185370947
0.0411,9.36274141123652,-0.919670261681452,9.40880768954225,0.0460662783057331
0.0412,9.35319630118699,-0.928747113531041,9.29776485888251,-0.0554314423044809
0.0413,9.33442071557995,-0.936907404085854,9.17754625683981,-0.156874458740138
0.0414,9.30643318365216,-0.944143080127037,9.04827052466019,-0.258162658991966
0.0415,9.26926132571935,-0.950447000918467,8.91006524188368,-0.359196083835671
0.0416,9.22294182591825,-0.955812945253802,8.76306680043863,-0.459875025479619
0.0417,9.1675203960038,-0.960235617596052,8.60742027003944,-0.560100125964363
0.0418,9.10305173023711,-0.963710653303673,8.44327925502014,-0.659772475216969
0.0419,9.02959945140888,-0.96623462293789,8.27080574274562,-0.758793708663264
0.042,8.94723604805131,-0.967805035647211,8.09016994374947,-0.85706610430184
0.0421,8.8560428029007,-0.968420341625535,7.9015501237569,-0.954492679143803
0.0422,8.7561097126812,-0.968079933641682,7.70513242775789,-1.05097728492331
0.0423,8.64753539928887,-0.966784147638633,7.50111069630459,-1.14642470298428
0.0424,8.53042701246379,-0.964534262402007,7.28968627421411,-1.24074073824968
0.0425,8.40490012404622,-0.961332498298063,7.07106781186547,-1.33383231218074
0.0426,8.27107861392106,-0.95718201508247,6.84547105928689,-1.42560755463418
0.0427,8.12909454776347,-0.952086908782015,6.61311865323652,-1.51597589452695
0.0428,7.97908804670586,-0.946052207652325,6.37423989748689,-1.60484814921897
0.0429,7.82120714905538,-0.939083867215573,6.12907053652977,-1.69213661252562
0.043,7.65560766419786,-0.931188764383159,5.87785252292472,-1.77775514127314
0.0431,7.48245301883284,-0.922374690668945,5.62083377852131,-1.86161924031153
0.0432,7.30191409569107,-0.912650344500081,5.35826794978996,-1.94364614590112
0.0433,7.11416906489397,-0.902025322632611,5.09041415750369,-2.02375490739028
0.0434,6.91940320812118,-0.890510110680692,4.81753674101715,-2.10186646710403
0.0435,6.71780873575985,-0.878116072768599,4.53990499739545,-2.1779037383644
0.0436,6.50958459721634,-0.864855440315606,4.25779291565073,-2.25179168156562
0.0437,6.29493628457702,-0.850741299965182,3.97147890634779,-2.32345737822923
0.0438,6.07407562981252,-0.835787580669935,3.68124552684678,-2.39283010296574
0.0439,5.84722059572502,-0.820009039945541,3.3873792024529,-2.45984139327212
0.044,5.61459506084541,-0.803421249306751,3.09016994374946,-2.52442511709594
0.0441,5.3764285984921,-0.786040578900271,2.78991106039228,-2.58651753809982
0.0442,5.13295625020994,-0.767884181349371,2.48689887164854,-2.6460573785614
0.0443,4.88441829381256,-0.748969974826317,2.18143241396544,-2.70298587984713
0.0444,4.63106000625718,-0.729316625369346,1.87381314585724,-2.75724686039994
0.0445,4.37313142158589,-0.708943528461464,1.56434465040229,-2.8087867711836
0.0446,4.11088708417222,-0.687870789889495,1.25333233564304,-2.85755474852918
0.0447,3.84458579751654,-0.666119205902147,0.941083133185127,-2.90350266433141
0.0448,3.57449036883834,-0.64371024268651,0.627905195293137,-2.94658517354521
0.0449,3.30086734971714,-0.620666015183663,0.31410759078127,-2.98675975893587
0.045,3.02398677303833,-0.597009265263763,-1.13242748511766e-14,-3.02398677303834
0.0451,2.74412188650328,-0.57276333928267,-0.314107590781293,-3.05822947728457
0.0452,2.46154888296685,-0.547952165041867,-0.627905195293142,-3.08945407825999
0.0453,2.17654662786842,-0.52260022817462,-0.94108313318515,-3.11762976105357
0.0454,1.88939638402533,-0.496732547981614,-1.25333233564305,-3.14272871966838
0.0455,1.60038153406046,-0.470374652739929,-1.56434465040231,-3.16472618446277
0.0456,1.30978730073778,-0.443552554509711,-1.87381314585725,-3.18360044659503
0.0457,1.01790046548195,-0.416292723463419,-2.18143241396544,-3.1993328794474
0.0458,0.725009085359671,-0.388622061762922,-2.48689887164855,-3.21190795700822
0.0459,0.43140220880206,-0.360567877010404,-2.78991106039231,-3.22131326919437
0.046,0.137369590348902,-0.332157855298926,-3.09016994374945,-3.22753953409835
0.0461,-0.156798595304282,-0.303420033889762,-3.38737920245291,-3.23058060714862
0.0462,-0.450812039673457,-0.274382773542838,-3.68124552684679,-3.23043348717333
0.0463,-0.74438058698559,-0.245074730528193,-3.97147890634783,-3.22709831936224
0.0464,-1.03721452052734,-0.215524828345658,-4.25779291565073,-3.22057839512339
0.0465,-1.32902484856049,-0.185762229180896,-4.53990499739545,-3.21088014883496
0.0466,-1.61952358952193,-0.155816305125823,-4.81753674101715,-3.19801315149522
