time,v1,v2,v3,i12,i23
0.015,6.43249059870655e-15,3.21624529935327e-15,3.21624529935327e-15,3.21624529935327e-15,4.93038065763132e-32
0.0151,0.314107590781288,0.157053795390644,0.157053795390644,0.157053795390644,0
0.0152,0.627905195293137,0.313952597646568,0.313952597646568,0.313952597646568,1.38777878078145e-17
0.0153,0.941083133185144,0.470541566592572,0.470541566592572,0.470541566592572,0
0.0154,1.25333233564304,0.626666167821521,0.626666167821521,0.626666167821521,1.38777878078145e-17
0.0155,1.56434465040231,0.782172325201153,0.782172325201153,0.782172325201153,0
0.0156,1.87381314585725,0.936906572928625,0.936906572928625,0.936906572928625,1.38777878078145e-17
0.0157,2.18143241396543,1.09071620698271,1.09071620698271,1.09071620698271,2.77555756156289e-17
0.0158,2.48689887164855,1.24344943582427,1.24344943582427,1.24344943582427,2.77555756156289e-17
0.0159,2.78991106039229,1.39495553019615,1.39495553019615,1.39495553019615,2.77555756156289e-17
0.016,3.09016994374947,1.54508497187474,1.54508497187474,1.54508497187474,2.77555756156289e-17
0.0161,3.38737920245291,1.69368960122645,1.69368960122645,1.69368960122645,0
0.0162,3.68124552684677,1.84062276342339,1.84062276342339,1.84062276342339,2.77555756156289e-17
0.0163,3.97147890634782,1.98573945317391,1.98573945317391,1.98573945317391,2.77555756156289e-17
0.0164,4.25779291565074,2.12889645782537,2.12889645782537,2.12889645782537,5.55111512312578e-17
0.0165,4.53990499739547,2.26995249869774,2.26995249869774,2.26995249869774,0
0.0166,4.81753674101716,2.40876837050858,2.40876837050858,2.40876837050858,2.77555756156289e-17
0.0167,5.09041415750372,2.54520707875186,2.54520707875186,2.54520707875186,0
0.0168,5.35826794978997,2.67913397489499,2.67913397489499,2.67913397489499,0
0.0169,5.62083377852131,2.81041688926066,2.81041688926066,2.81041688926066,5.55111512312578e-17
0.017,5.87785252292474,2.93892626146237,2.93892626146237,2.93892626146237,5.55111512312578e-17
0.0171,6.12907053652977,3.06453526826488,3.06453526826488,3.06453526826488,5.55111512312578e-17
0.0172,6.3742398974869,3.18711994874345,3.18711994874345,3.18711994874345,5.55111512312578e-17
0.0173,6.61311865323652,3.30655932661826,3.30655932661826,3.30655932661826,5.55111512312578e-17
0.0174,6.84547105928689,3.42273552964345,3.42273552964345,3.42273552964345,0
0.0175,7.07106781186548,3.53553390593274,3.53553390593274,3.53553390593274,5.55111512312578e-17
0.0176,7.28968627421412,3.64484313710706,3.64484313710706,3.64484313710706,5.55111512312578e-17
0.0177,7.5011106963046,3.7505553481523,3.7505553481523,3.7505553481523,5.55111512312578e-17
0.0178,7.70513242775789,3.85256621387895,3.85256621387895,3.85256621387895,0
0.0179,7.9015501237569,3.95077506187845,3.95077506187845,3.95077506187845,0
0.018,8.09016994374948,4.04508497187474,4.04508497187474,4.04508497187474,0
0.0181,8.27080574274562,4.13540287137281,4.13540287137281,4.13540287137281,0
0.0182,8.44327925502015,4.22163962751008,4.22163962751008,4.22163962751008,0
0.0183,8.60742027003944,4.30371013501972,4.30371013501972,4.30371013501972,5.55111512312578e-17
0.0184,8.76306680043864,4.38153340021932,4.38153340021932,4.38153340021932,1.11022302462516e-16
0.0185,8.91006524188368,4.45503262094184,4.45503262094184,4.45503262094184,0
0.0186,9.0482705246602,4.5241352623301,4.5241352623301,4.5241352623301,0
0.0187,9.17754625683981,4.58877312841991,4.58877312841991,4.58877312841991,0
0.0188,9.29776485888251,4.64888242944126,4.64888242944126,4.64888242944126,5.55111512312578e-17
0.0189,9.40880768954225,4.70440384477113,4.70440384477113,4.70440384477113,0
0.019,9.51056516295153,4.75528258147577,4.75528258147577,4.75528258147577,0
0.0191,9.60293685676943,4.80146842838472,4.80146842838472,4.80146842838472,1.11022302462516e-16
0.0192,9.68583161128631,4.84291580564316,4.84291580564316,4.84291580564316,1.11022302462516e-16
0.0193,9.75916761938747,4.87958380969374,4.87958380969374,4.87958380969374,5.55111512312578e-17
0.0194,9.82287250728689,4.91143625364344,4.91143625364344,4.91143625364344,1.11022302462516e-16
0.0195,9.87688340595138,4.93844170297569,4.93844170297569,4.93844170297569,1.11022302462516e-16
0.0196,9.92114701314478,4.96057350657239,4.96057350657239,4.96057350657239,0
0.0197,9.9556196460308,4.9778098230154,4.9778098230154,4.9778098230154,5.55111512312578e-17
0.0198,9.98026728428272,4.99013364214136,4.99013364214136,4.99013364214136,1.11022302462516e-16
0.0199,9.99506560365732,4.99753280182866,4.99753280182866,4.99753280182866,1.11022302462516e-16
0.02,10,5,5,5,5.55111512312578e-17
0.0201,9.99506560365732,4.99753280182866,4.99753280182866,4.99753280182866,1.11022302462516e-16
0.0202,9.98026728428271,4.99013364214136,4.99013364214136,4.99013364214136,5.55111512312578e-17
0.0203,9.9556196460308,4.9778098230154,4.9778098230154,4.9778098230154,1.11022302462516e-16
0.0204,9.92114701314478,4.96057350657239,4.96057350657239,4.96057350657239,0
0.0205,9.87688340595138,4.93844170297569,4.93844170297569,4.93844170297569,1.11022302462516e-16
0.0206,9.82287250728689,4.91143625364344,4.91143625364344,4.91143625364344,1.11022302462516e-16
0.0207,9.75916761938747,4.87958380969374,4.87958380969374,4.87958380969374,1.11022302462516e-16
0.0208,9.68583161128631,4.84291580564316,4.84291580564315,4.84291580564316,5.55111512312578e-17
0.0209,9.60293685676943,4.80146842838471,4.80146842838471,4.80146842838471,5.55111512312578e-17
0.021,9.51056516295154,4.75528258147577,4.75528258147577,4.75528258147577,5.55111512312578e-17
0.0211,9.40880768954225,4.70440384477113,4.70440384477112,4.70440384477113,1.11022302462516e-16
0.0212,9.29776485888252,4.64888242944126,4.64888242944126,4.64888242944126,0
0.0213,9.17754625683981,4.5887731284199,4.5887731284199,4.5887731284199,1.11022302462516e-16
0.0214,9.04827052466019,4.5241352623301,4.5241352623301,4.5241352623301,0
0.0215,8.91006524188368,4.45503262094184,4.45503262094184,4.45503262094184,1.11022302462516e-16
