"time","voltageSource.v","resistor.v","inductor.v","capacitor.v","der(capacitor.v)","inductor.i","der(voltageSource.i)"
0.0243,2.181432413965416,-0.1527908404856854,-0.001151095382265321,2.335374349833367,-3055.816809713708,-0.01527908404856854,1.151095382265321
0.0244,1.873813145857247,-0.1538686981996135,-0.001008717231344214,2.028690561288205,-3077.373963992271,-0.01538686981996135,1.008717231344214
0.0245,1.564344650402303,-0.154800469237522,-0.0008526696316775162,1.719997789271502,-3096.009384750439,-0.0154800469237522,0.8526696316775162
0.0246,1.253332335643038,-0.1555740254666463,-0.0006906044613648188,1.40959696557105,-3111.480509332927,-0.01555740254666464,0.6906044613648188
0.0247,0.941083133185132,-0.1561875082942298,-0.00053591651660434,1.097806557995966,-3123.750165884596,-0.01561875082942298,0.53591651660434
0.0248,0.6279051952931332,-0.1566480949054822,-0.0003895062281543682,0.7849427964267697,-3132.961898109643,-0.01566480949054822,0.3895062281543682
0.0249,0.3141075907812754,-0.1569615107390329,-0.0002398069724882101,0.4713089084927966,-3139.230214780659,-0.0156961510739033,0.2398069724882101
0.025,-5.820268312445309e-15,-0.1571223399692495,-7.972884225701526e-05,0.1572020688115007,-3142.446799384991,-0.01571223399692495,0.07972884225701526
0.0251,-0.3141075907812869,-0.1571221863004826,8.185090946410956e-05,-0.1570672553902684,-3142.443726009652,-0.01571221863004826,-0.08185090946410956
0.0252,-0.6279051952931359,-0.1569629219342385,0.0002362113727051862,-0.4711784847316026,-3139.25843868477,-0.01569629219342385,-0.2362113727051862
0.0253,-0.9410831331851526,-0.1566510708955203,0.0003865287107313042,-0.7848185910003637,-3133.021417910405,-0.01566510708955203,-0.3865287107313042
0.0254,-1.253332335643041,-0.1561879776048665,0.0005388098838574606,-1.097683167922032,-3123.75955209733,-0.01561879776048665,-0.5388098838574606
0.0255,-1.564344650402314,-0.1555713960087749,0.0006944353853191032,-1.409467689778858,-3111.427920175498,-0.01555713960087749,-0.6944353853191032
0.0256,-1.87381314585725,-0.1547991616224498,0.0008500494139731529,-1.719864033648774,-3095.983232448996,-0.01547991616224498,-0.8500494139731529
0.0257,-2.18143241396541,-0.1538725087400114,0.001002824582367889,-2.028562729807767,-3077.450174800228,-0.01538725087400114,-1.002824582367889
0.0258,-2.486898871648548,-0.1527944639063574,0.001152336885128502,-2.335256744627319,-3055.889278127148,-0.01527944639063574,-1.152336885128502
0.0259,-2.789911060392291,-0.1515673667133626,0.001300294796807933,-2.639643988475736,-3031.347334267252,-0.01515673667133626,-1.300294796807933
0.026,-3.090169943749488,-0.1501919660846021,0.001449398963336623,-2.941427376628222,-3003.839321692042,-0.01501919660846021,-1.449398963336623
0.0261,-3.387379202452909,-0.1486679177305238,0.001599427382016128,-3.240310712104402,-2973.358354610477,-0.01486679177305238,-1.599427382016128
0.0262,-3.68124552684679,-0.1469952069369749,0.001747481587454747,-3.535997801497269,-2939.904138739498,-0.01469952069369749,-1.747481587454747
0.0263,-3.971478906347814,-0.1451760789924874,0.001891253748071531,-3.828194081103399,-2903.521579849748,-0.01451760789924874,-1.891253748071531
0.0264,-4.257792915650733,-0.1432143103932202,0.002030983292995892,-4.116609588550509,-2864.286207864403,-0.01432143103932202,-2.030983292995892
0.0265,-4.539904997395473,-0.141113148195929,0.002169164304730131,-4.400961013504274,-2822.262963918581,-0.0141113148195929,-2.169164304730131
0.0266,-4.817536741017156,-0.1388741010263967,0.002308146624313778,-4.680970786615073,-2777.482020527934,-0.01388741010263967,-2.308146624313778
0.0267,-5.090414157503714,-0.136497239619854,0.002447353537731622,-4.956364271421592,-2729.944792397081,-0.01364972396198541,-2.447353537731622
0.0268,-5.358267949789966,-0.1339833444965765,0.002582789434550037,-5.22686739472794,-2679.66688993153,-0.01339833444965765,-2.582789434550037
0.0269,-5.620833778521305,-0.1313358729617617,0.002711899574320498,-5.492209805133863,-2626.717459235235,-0.01313358729617618,-2.711899574320498
0.027,-5.877852522924742,-0.128560252691624,0.002836769608224543,-5.752129039841343,-2571.205053832479,-0.0128560252691624,-2.836769608224543
0.0271,-6.129070536529761,-0.1256603507856114,0.002960439607874399,-6.006370625352024,-2513.207015712229,-0.01256603507856115,-2.960439607874399
0.0272,-6.374239897486905,-0.1226372714724641,0.003084766683160822,-6.254687392697602,-2452.745429449281,-0.01226372714724641,-3.084766683160822
0.0273,-6.613118653236526,-0.1194915624545971,0.003207859898252785,-6.496834950680182,-2389.831249091942,-0.01194915624545971,-3.207859898252785
0.0274,-6.845471059286892,-0.1162254121632428,0.003325829327012642,-6.732571476450661,-2324.508243264856,-0.01162254121632428,-3.325829327012642
0.0275,-7.071067811865479,-0.112843870395905,0.003436519045365571,-6.961660460514939,-2256.877407918099,-0.0112843870395905,-3.436519045365571
0.0276,-7.289686274214118,-0.1093529117733792,0.003542066212598449,-7.183875428653337,-2187.058235467583,-0.01093529117733792,-3.542066212598449
0.0277,-7.501110696304597,-0.1057571889112472,0.003647382641262631,-7.399000890034612,-2115.143778224943,-0.01057571889112472,-3.647382641262631
