"time","resistor.i","resistor.v","inductor.i","inductor.v","voltageSource.i","voltageSource.v"
0.0412,1.079722049111801,5.398610245559005,1.079722049111801,3.899154613323506,-1.079722049111801,9.297764858882511
0.0413,1.098681810507969,5.493409052539842,1.098681810507969,3.684137204299965,-1.098681810507969,9.177546256839808
0.0414,1.116557186725723,5.582785933628617,1.116557186725723,3.465484591031577,-1.116557186725723,9.048270524660193
0.0415,1.133330661892029,5.666653309460143,1.133330661892029,3.243411932423534,-1.133330661892029,8.910065241883677
0.0416,1.148985728751152,5.744928643755761,1.148985728751152,3.018138156682873,-1.148985728751152,8.763066800438635
0.0417,1.163506970420539,5.817534852102693,1.163506970420539,2.789885417936744,-1.163506970420539,8.607420270039437
0.0418,1.176879834375719,5.884399171878593,1.176879834375719,2.558880083141558,-1.176879834375719,8.443279255020151
0.0419,1.18909126614823,5.945456330741148,1.18909126614823,2.325349412004472,-1.18909126614823,8.270805742745621
0.042,1.200129258078101,6.000646290390506,1.200129258078101,2.089523653358961,-1.200129258078101,8.090169943749467
0.0421,1.209982971320443,6.049914856602215,1.209982971320443,1.851635267154692,-1.209982971320443,7.901550123756907
0.0422,1.218642427226431,6.093212136132155,1.218642427226431,1.611920291625732,-1.218642427226431,7.705132427757887
0.0423,1.226099231007447,6.130496155037233,1.226099231007447,1.370614541267369,-1.226099231007447,7.501110696304602
0.0424,1.23234606548605,6.161730327430251,1.23234606548605,1.127955946783859,-1.23234606548605,7.289686274214111
0.0425,1.237376839248498,6.186884196242489,1.237376839248498,0.884183615622983,-1.237376839248498,7.071067811865472
0.0426,1.241186311659784,6.205931558298921,1.241186311659784,0.6395395009879632,-1.241186311659784,6.845471059286885
0.0427,1.243770875105702,6.218854375528507,1.243770875105702,0.394264277708011,-1.243770875105702,6.613118653236518
0.0428,1.245128024965514,6.225640124827571,1.245128024965514,0.1485997726593276,-1.245128024965514,6.374239897486898
0.0429,1.245256497645814,6.226282488229068,1.245256497645814,-0.09721195169929953,-1.245256497645814,6.129070536529769
0.043,1.244155923566807,6.220779617834037,1.244155923566807,-0.3429270949093013,-1.244155923566807,5.877852522924735
0.0431,1.241827484119051,6.209137420595253,1.241827484119051,-0.5883036420739414,-1.241827484119051,5.620833778521312
0.0432,1.238273546969697,6.191367734848487,1.238273546969697,-0.8330997850585291,-1.238273546969697,5.358267949789958
0.0433,1.2334976955527,6.167488477763499,1.2334976955527,-1.077074320259777,-1.2334976955527,5.090414157503722
0.0434,1.227504438940506,6.13752219470253,1.227504438940506,-1.319985453685382,-1.227504438940506,4.817536741017149
0.0435,1.220299726129121,6.101498630645606,1.220299726129121,-1.561593633250125,-1.220299726129121,4.539904997395481
0.0436,1.211890757581739,6.059453787908692,1.211890757581739,-1.801660872257967,-1.211890757581739,4.257792915650725
0.0437,1.202285904229111,6.011429521145554,1.202285904229111,-2.039950614797764,-1.202285904229111,3.97147890634779
0.0438,1.191494485903039,5.957472429515197,1.191494485903039,-2.276226902668415,-1.191494485903039,3.681245526846781
0.0439,1.179527127257712,5.897635636288561,1.179527127257712,-2.51025643383566,-1.179527127257712,3.3873792024529
0.044,1.166395744681941,5.831978723409704,1.166395744681941,-2.741808779660225,-1.166395744681941,3.090169943749479
0.0441,1.152113364073607,5.760566820368036,1.152113364073607,-2.970655759975753,-1.152113364073607,2.789911060392282
0.0442,1.136693965865903,5.683469829329512,1.136693965865903,-3.196570957680973,-1.136693965865903,2.486898871648539
0.0443,1.120152690343044,5.600763451715219,1.120152690343044,-3.419331037749783,-1.120152690343044,2.181432413965436
0.0444,1.102505980040002,5.512529900200011,1.102505980040002,-3.63871675434277,-1.102505980040002,1.873813145857241
0.0445,1.083771312153972,5.418856560769861,1.083771312153972,-3.854511910367538,-1.083771312153972,1.564344650402323
0.0446,1.063967101010279,5.319835505051395,1.063967101010279,-4.066503169408354,-1.063967101010279,1.253332335643041
