time,v2_0
4.032150e+00,-12760.512198
4.032200e+00,-12598.387058
4.032250e+00,-12433.153455
4.032300e+00,-12264.852158
4.032350e+00,-12093.524691
4.032400e+00,-11919.213329
4.032450e+00,-11741.961079
4.032500e+00,-11561.811676
4.032550e+00,-11378.809569
4.032600e+00,-11192.999911
4.032650e+00,-11004.428548
4.032700e+00,-10813.142006
4.032750e+00,-10619.187484
4.032800e+00,-10422.612837
4.032850e+00,-10223.466566
4.032900e+00,-10021.797807
4.032950e+00,-9817.656320
4.033000e+00,-9611.092473
4.033050e+00,-9402.157233
4.033100e+00,-9190.902152
4.033150e+00,-8977.379353
4.033200e+00,-8761.641520
4.033250e+00,-8543.741883
4.033300e+00,-8323.734206
4.033350e+00,-8101.672772
4.033400e+00,-7877.612372
4.033450e+00,-7651.608289
4.033500e+00,-7423.716286
4.033550e+00,-7193.992592
4.033600e+00,-6962.493888
4.033650e+00,-6729.277294
4.033700e+00,-6494.400351
4.033750e+00,-6257.921012
4.033800e+00,-6019.897624
4.033850e+00,-5780.388918
4.033900e+00,-5539.453986
4.033950e+00,-5297.152278
4.034000e+00,-5053.543577
4.034050e+00,-4808.687989
4.034100e+00,-4562.645930
4.034150e+00,-4315.478106
4.034200e+00,-4067.245503
4.034250e+00,-3818.009368
4.034300e+00,-3567.831197
4.034350e+00,-3316.772716
4.034400e+00,-3064.895872
4.034450e+00,-2812.262810
4.034500e+00,-2558.935865
4.034550e+00,-2304.977541
4.034600e+00,-2050.450499
4.034650e+00,-1795.417538
4.034700e+00,-1539.941586
4.034750e+00,-1284.085676
4.034800e+00,-1027.912937
4.034850e+00,-771.486576
4.034900e+00,-514.869862
4.034950e+00,-258.126113
4.035000e+00,-1.318674
4.035050e+00,255.489090
4.035100e+00,512.233815
4.035150e+00,768.852154
4.035200e+00,1025.280790
4.035250e+00,1281.456454
4.035300e+00,1537.315937
4.035350e+00,1792.796110
4.035400e+00,2047.833938
4.035450e+00,2302.366493
4.035500e+00,2556.330973
4.035550e+00,2809.664717
4.035600e+00,3062.305218
4.035650e+00,3314.190141
4.035700e+00,3565.257336
4.035750e+00,3815.444858
4.035800e+00,4064.690976
4.035850e+00,4312.934192
4.035900e+00,4560.113255
4.035950e+00,4806.167179
4.036000e+00,5051.035253
4.036050e+00,5294.657060
4.036100e+00,5536.972488
4.036150e+00,5777.921752
4.036200e+00,6017.445400
4.036250e+00,6255.484333
4.036300e+00,6491.979818
4.036350e+00,6726.873505
4.036400e+00,6960.107436
4.036450e+00,7191.624065
4.036500e+00,7421.366267
4.036550e+00,7649.277359
4.036600e+00,7875.301106
4.036650e+00,8099.381739
4.036700e+00,8321.463972
4.036750e+00,8541.493008
4.036800e+00,8759.414557
4.036850e+00,8975.174853
4.036900e+00,9188.720658
4.036950e+00,9399.999283
4.037000e+00,9608.958600
4.037050e+00,9815.547049
4.037100e+00,10019.713659
4.037150e+00,10221.408054
4.037200e+00,10420.580470
4.037250e+00,10617.181763
4.037300e+00,10811.163425
4.037350e+00,11002.477595
4.037400e+00,11191.077067
4.037450e+00,11376.915309
4.037500e+00,11559.946467
4.037550e+00,11740.125381
4.037600e+00,11917.407595
4.037650e+00,12091.749366
4.037700e+00,12263.107679
4.037750e+00,12431.440254
4.037800e+00,12596.705557
4.037850e+00,12758.862811
4.037900e+00,12917.872006
4.037950e+00,13073.693910
4.038000e+00,13226.290075
4.038050e+00,13375.622851
4.038100e+00,13521.655392
4.038150e+00,13664.351667
4.038200e+00,13803.676467
4.038250e+00,13939.595416
4.038300e+00,14072.074979
4.038350e+00,14201.082468
4.038400e+00,14326.586052
4.038450e+00,14448.554766
4.038500e+00,14566.958514
4.038550e+00,14681.768084
4.038600e+00,14792.955146
4.038650e+00,14900.492269
4.038700e+00,15004.352917
4.038750e+00,15104.511467
4.038800e+00,15200.943203
4.038850e+00,15293.624335
4.038900e+00,15382.531993
4.038950e+00,15467.644242
4.039000e+00,15548.940081
4.039050e+00,15626.399451
4.039100e+00,15700.003241
4.039150e+00,15769.733290
4.039200e+00,15835.572394
4.039250e+00,15897.504307
4.039300e+00,15955.513748
4.039350e+00,16009.586405
4.039400e+00,16059.708936
4.039450e+00,16105.868974
4.039500e+00,16148.055130
4.039550e+00,16186.256995
4.039600e+00,16220.465144
4.039650e+00,16250.671135
4.039700e+00,16276.867516
4.039750e+00,16299.047823
4.039800e+00,16317.206585
4.039850e+00,16331.339319
4.039900e+00,16341.442540
4.039950e+00,16347.513755
4.040000e+00,16349.551465
4.040050e+00,16347.555168
4.040100e+00,16341.525356
4.040150e+00,16331.463518
4.040200e+00,16317.372135
4.040250e+00,16299.254684
4.040300e+00,16277.115637
4.040350e+00,16250.960454
4.040400e+00,16220.795591
4.040450e+00,16186.628489
4.040500e+00,16148.467578
4.040550e+00,16106.322275
4.040600e+00,16060.202977
4.040650e+00,16010.121065
4.040700e+00,15956.088895
4.040750e+00,15898.119799
4.040800e+00,15836.228079
4.040850e+00,15770.429008
4.040900e+00,15700.738819
4.040950e+00,15627.174707
4.041000e+00,15549.754824
4.041050e+00,15468.498272
4.041100e+00,15383.425099
4.041150e+00,15294.556296
4.041200e+00,15201.913791
4.041250e+00,15105.520441
4.041300e+00,15005.400029
4.041350e+00,14901.577260
4.041400e+00,14794.077749
4.041450e+00,14682.928021
4.041500e+00,14568.155501
4.041550e+00,14449.788506
4.041600e+00,14327.856242
4.041650e+00,14202.388794
4.041700e+00,14073.417119
4.041750e+00,13940.973039
4.041800e+00,13805.089233
4.041850e+00,13665.799227
4.041900e+00,13523.137390
4.041950e+00,13377.138921
4.042000e+00,13227.839844
4.042050e+00,13075.276994
4.042100e+00,12919.488016
4.042150e+00,12760.511348
4.042200e+00,12598.386215
4.042250e+00,12433.152618
4.042300e+00,12264.851327
4.042350e+00,12093.523868
4.042400e+00,11919.212512
4.042450e+00,11741.960270
4.042500e+00,11561.810874
4.042550e+00,11378.808775
4.042600e+00,11192.999124
4.042650e+00,11004.427769
4.042700e+00,10813.141236
4.042750e+00,10619.186723
4.042800e+00,10422.612084
4.042850e+00,10223.465822
4.042900e+00,10021.797072
4.042950e+00,9817.655594
4.043000e+00,9611.091757
4.043050e+00,9402.156526
4.043100e+00,9190.901454
4.043150e+00,8977.378665
4.043200e+00,8761.640842
4.043250e+00,8543.741216
4.043300e+00,8323.733549
4.043350e+00,8101.672126
4.043400e+00,7877.611736
4.043450e+00,7651.607664
4.043500e+00,7423.715672
4.043550e+00,7193.991989
4.043600e+00,6962.493297
4.043650e+00,6729.276714
4.043700e+00,6494.399782
4.043750e+00,6257.920455
4.043800e+00,6019.897079
4.043850e+00,5780.388385
4.043900e+00,5539.453465
4.043950e+00,5297.151769
4.044000e+00,5053.543080
4.044050e+00,4808.687505
4.044100e+00,4562.645458
4.044150e+00,4315.477647
